SegmentId,Start,End,Transcript,Focus Concepts,,,,,,,,Focus Topics
MxmrjLQvg7E1,00:00,00:11,"Two doctors came up to me with theirtheir laptop in front and they justclosed the curtain, and i just rememberthinking that time when they closed thecurtain,This is this, isn't going to be good andhe just looked at me and said: it's",Thinking,CognitiveFunction,,,,,,PsychologicalHealth,PsychologicalHealth
,,,,,,,,,,,,
MxmrjLQvg7E2,00:13,00:27,"cancer, um you 're familiar with it from yourfamily , but having itbe told to you , Is obviously a completelydifferent experience , umand one that is vivid for you stillright",Mum,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
MxmrjLQvg7E3,00:28,00:40,"die mum probably the reason why i'm heretoday is down to the biopsy that I hadof my back, which,which, is where they found the alkmutation and the treatment that wasavailable to me and without it iprobably wouldn't be here today",Mum,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Treatment,,,,,,,LevelOfIndependence,LevelOfIndependence
,,,,,,,,,,,,
MxmrjLQvg7E4,00:43,00:58,"my name is becca smith, i'm from chesterand i'm 29,so i was diagnosed with alk lung cancerback, in march 2020. It started withmonths of back, painbecause i was personal training and ijust had horrific pain in my back, and i",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Pain,PhysicalSymptoms,,,,,,PhysicalHealth,PhysicalHealth
,,,,Training,AcquiringInformation,,,,,,Environment,Environment
,,,,,,,,,,,,
MxmrjLQvg7E5,01:00,01:10,thought at the time it was a slippeddisc.So i went down the route ofumhaving physio work had chiropractors onme but then it was when I went and did ayoga course in birmingham,,,,,,,,,
MxmrjLQvg7E6,01:12,01:24,"that I completely lost my vision.So everything just went black and isuffered with horrific migraines.So i got kind of i didn't got rushedinto hospital, but i went for an eye testfirstand at my test at boots. That'S where",,,,,,,,,
MxmrjLQvg7E7,01:27,01:39,"they saw hemorrhage in the back, of myeyesand i could see, then it was in theoptician's face that she wasn't happyand she sent me to get more checks. So iwent to the countess of chester hospital,and That'S where they did the first",,,,,,,,,
MxmrjLQvg7E8,01:40,01:49,"assessment on me i could just see,her face,dropped andshe just said: she needs to stay in to mymumand it all just it went from there. Wewere at the hospital, and they said:",Mum,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
MxmrjLQvg7E9,01:51,02:04,"there's nothing we can do. it's spreadall over. The body andshe needs and my mom saidstaying in This hospital, to for herdays. We want to take her home so afamily, they brought me home and i had24-hour care. I had",Mom,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,Family,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
MxmrjLQvg7E10,02:06,02:18,"coming out every day. I was bedstill on oxygen at this point,not being able to feedanythingand i had a week of my friendssayand but it was about two",Friend,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
MxmrjLQvg7E11,02:21,02:32,"that my mum actually got afrom walton where My biopsy hadsent from my back,and that was where the phone Call wassaying. Apparently, the lady on the phonewas jumping for joy, saying we found thisalk",Mum,PersonalRelationship,,,,,,SocialRelationship,SocialRelationship
,,,,,,,,,,,,
MxmrjLQvg7E12,02:34,02:54,"which is a gene mutation in becca andit's a lung cancer there. was aenergy in the house after that phoneCalland then it just it went from there.so far, all my scans for themonths",LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Energy,,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
MxmrjLQvg7E13,02:55,03:07,"have been back,better and better and betterEverything'S, it's completely gonebraini'm left with one little one on myand one lump on my lungSo everything has been",,,,,,,,,
MxmrjLQvg7E14,03:10,03:23,"and now, i'm on in ait's like. I tell myself that it'slike. it's i'm like. it's just it's like.chronic illness. There'S peoplewith ms there's people that there'speople think i'm like. I takeevery day. but",,,,,,,,,
MxmrjLQvg7E15,03:25,03:25,my life continues.,,,,,,,,,
rQutyErqBG01,00:04,00:19,"My name is Anthony Thomas , I 'm aparamedic , the 911 paramedic . I had a achest x-ray because I had a non benigntumor removed from the right side of myhead . Like Palmer , the chest x-ray showednothing was clean , that the lungs willclear . My GI doctor . She says I want to do",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG02,00:22,00:37,"an abdominal pelvic cat scan withcontrast , and it takes one Charlie , lowerlungs and they found the tumor no Lolaflow of my lung , and she says we do n'tknow if it 's cancer , we do n't know ifthere 's more because he only Takes oneCharlie , along until the lower left lobe",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG03,00:39,00:56,"and we had a tumor , I never had anysymptoms and I was working in a privateschool where you needed a physical everyyear . Each year I 'd go in and I 'd say myfather died of lung cancer and 30 yearsearlier I had smoked . Maybe I should havea chest x-ray . She said okay and there it",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,LungCancer,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG04,00:59,01:15,"was . I just thought my life was over . Ithappened to be an aggressive cancer .Smoking small cell , which made you adoctor , get it quickly enough .I had no signs of symptoms . I knownothing . I did n't feel anything .Was I smoking ? Yes , but once she told me , I",Smoking,Behaviour,,,,,,PhysicalHealth,PhysicalHealth
,,,,,,,,,,,,
rQutyErqBG05,01:18,01:33,"had the tumor through secret 's out thatwas younger smoking . The fears I meanwhen you hear the word lung cancer - youjust I remember saying to the firstdoctor : do I have six months ? You know thefeeling that this is terminal it 's gon nabe over . We go back to the follow-up , all",Tumor,RespiratoryIllness,,,,,,PhysicalHealth,PhysicalHealth
,,,,Fear,NegativeFeeling,,,,,,PsychologicalHealth,PsychologicalHealth
