Topic,Sentence
Environment,"collaborating with a range of collaborating with a range of organizations , including Parks , Victoria g21 , the Austin hospital group in the city of Melbourne and I 'm Pleased to say that many of those stakeholders are in the room with us this evening and we 're delighted to welcome you here . Maddie 'S"
No," their elders , past and present , but perhaps even more importantly , for this this occasion , I 'd Like to pay my respects to the family of the late Peter quail , I did not have the privilege of knowing Peter if I may take the liberty of calling him by first name , and I know"
Environment," factor in our wellbeing is nature or the natural environment . There are two key ways in which the environment affects human health , through its quality and through its accessibility when the World Health Organization states that more than twentyfive"
Environment," percent of the world 's disease is attributable to environmental factors . It is referring to the quality of the environment in which people live or more particularly , to environmental degradation . For example , air pollution is responsible for approximately 3.3"
Environment," million deaths per year globally and 1.1 billion people worldwide live without access to clean water , but there is another aspect of the environment that is important for human health , its accessibility . Increasingly , it is being recognized that human health is"
No," nature may heal and cheer and give strength to body and soul alike . You might be forgiven for thinking that in bringing this quote to your attention , I 'm simply drawing attention to the threat posed to our access to green spaces by urban densification and urban"
No," patients from more than a hundred GP practices , found positive physical and mental health effects and increased physical activity associated with higher levels of proximal nature . This was true in children under 16 housewives , people from low SES areas and those under 65 in"
No," 2009 found that participants reported neighborhood green space was an important factor contributing to their positive mental health and in an Australian study , suvi armor and colleagues examined the links between perceived neighborhood , greenness and"
No, selfrated physical and mental health . They found that people who perceive their neighborhoods as very green had a 1.37 to 1.6 times greater likelihood of better physical and mental health respectively when compared with those who perceive their neighborhoods as
No," much more important than absolute poverty is relative deprivation or relative poverty , which is bad for health . That is being poorer than most people in society . The second is social explosion being excluded from access to the structures and resources of society"
No," based on racism , discrimination , stigmatization hostility and unemployment . Our Health Statistics paint a grim picture of the impacts of social exclusion , and here are so here 's some of the evidence . Indigenous people are less healthy diet , much younger ages have more"
No, disability and a lower quality of life . Economically disadvantaged Australians are more likely to have shorter lives . People with disability are more likely to have poor physical and mental health and higher rates of smoking and overweight and refugees also experience
Environment," health disadvantage . All of that from the Australian Institute of Health and Welfare . It is an amusing image , is it not , but it is also telling it highlights the coming together of both the accessibility and quality of natural environments and which sector"
Environment," of the population is most likely to be denied access to good quality environments , those who are socially excluded . The poor , those with a disability , the indigenous the refugees , those with mental health problems . Some years ago I worked in public housing in"
No, with signs saying . Please keep off the grass and no ball games the people living in those council houses . The children especially had few other options for accessing green space and they were being denied what they needed for good health Trevor Hancock . A leading
Environment," health promotion expert from Canada suggests that three broad elements - the economic environment , the social or community environment and the natural and built environment must all come together in positive ways if human health is to be optimized . Basically , the"
Environment," physical environment needs to be viable for human existence in its range of temperatures , for example , it needs to be sustainable in the long term , and the built environment needs to be livable , such as having adequate green spaces . The economic environment needs to be"
Environment," adequately prosperous . On an environmentally and socially sustainable basis , with the benefits of this prosperity distributed equitably , the social environment or community needs to be convivial , that is to have appropriate"
Environment," support networks and to foster harmony and participation in community life . It needs to be livable to support conviviality and provide a viable human living environment , and it needs to be equitable characterized by fairness and justice . According to Hancock , it is only"
No," meridian hill Park . What is now a lovely area to visit , but at the time it was the scene of drug dealing and big own violence , crime and the like Steve and his friends would walk through the park at night and greet everybody . No matter what they were doing"
No," - politely hello , lovely evening - is n't it and of course drug dealers and people who are up to no good ? Don'T really want to be greeted like that , so very quickly , they moved out Washington parks and people has become a fantastic organization that has spread its work"
Environment," way beyond the meridian hill area , including this area surrounding Marvin Gaye Park . Marvin Gaye Park once used to be a place of community of pride and of leisure . It was the center of life in the local area . First decades of abandonment made it one of Washington DC 's , worse"
No," worst parks , not unlike low socioeconomic status areas in many cities , drug dealing and violence , compounded the neglect and environmental degradation to make it a place where children could no longer play and families no longer wanted to Go Steve decided he would begin by"
No," consulting the children in the local area as to what they might like in the park . They replied that they would like a farmers market , so Steve dutifully went off to the local council and asked if he could set up a farmers market . Oh no , no ! No , they said we ca n't have people"
No," selling things in parks and he said well . I'Ve been selling speed and heroin here be here , would you mind if we sold peas and potatoes instead , and so the children got their farmers market ? Washington , parkson people worked with the local community"
Environment," He employed Kenny you 'll , see a photo of Kenny shortly . Kenny is a local . He has lived all his life in the area that is , apart from the time he spent in prison . He came to work with Steve through a job training scheme and is now key people in the development adversary , a key person"
Environment," in the development , maintenance and monitoring of the park and the surrounding area . Kenny now has an assistant , another person who came through the same job training scheme , but there are also other jobs opening up in the area . Now that the park can be used"
No," for recreational purposes , there are opportunities for ice cream , vendors , soft drink sellers and the like , and with the broad community renewal that has been leveraged from the work of Washington , packs and people . Construction jobs have also opened up for the locals ; it is a"
No," ripple effect . What began with the response of four or five people to a driveby shooting at meridian hill has now transformed whole areas of Washington DC . The results , of course , are obvious . This is the old nightclub which has been renovated as a community hub in"
Environment," winter . The farmers market is held indoors because it 's too hold in the park , but the venue also has rooms for youth activities , a soup kitchen and the potential for community education . This is Kenny . I 'D stake a lot on the fact that he will never go back"
No," The job scheme member is now Kenny the manager and also Kenny the researcher in the area adjacent to the park . There has been a huge community renewal project , new housing , a new school being built , improved streets and the like . The park is now an attractive area and the"
No," restored nightclub building is a drawcard for tourists interested in the history of popular music . But it is not just renewal of buildings that the park is triggered . It is also contributed to enhanced cultural understanding , community revitalization , crime"
No," prevention , Civic empowerment , child development and improved social connections . While I was there , I met with a wonderful africanamerican elderly lady who runs from her own home , a support program for young single mothers . She teaches them about cooking , healthy"
No," meals , about parenting and she even provides an opportunity shop for them to buy or swap clothes for themselves and their children . All this arose from the original Washington parks and people initiative . Another woman in her 60s was showing Steven me around another class"
Environment," another Park . What 'S branch quite close by when we detected pollution in the stream flowing through the park in the part in the past , there would have been no one to take action on this . Once Steve became involved , he might have taken action , but now the action"
Environment," comes from the local people within minutes . This lady was on the mobile phone to the environmental monitoring agency , demanding that they come at once and take action to stop the pollution . It is an example of Trevor Hancock 's model in action . What about here in Australia"
No," work , do you tell the Deauville about the bastards who 've been bugging you or do you when you get frustrated , get out into the garden and dig as though your life depended on this project involved ? Taking a group of people who are suffering from anxiety and depression out into a park"
Environment," to work with members of a friends of park group in planting weeding plant propagation and the like by connecting the people into the group , we hope that their connection with that environment Would be more sustainable since they would have friends there . The project was"
No," controlled for other variables . They undertook ten or more hours of a range of nature based activities over a period of six to twelve weeks . Those activities were supported by the anger volunteers , the angle C and aireys inlet Society for the preservation of nature . I think"
