SegmentId,StartTime,EndTime,Transcript
TmbQFWBvTtY1,0,0.22,  When we stand and present we want to come across a confident and composed .
TmbQFWBvTtY1,,,  And one of the great way to do that is by working on our body language . Let 's
TmbQFWBvTtY1,,,  look at three way to improve your nonverbal body language in presentation .
TmbQFWBvTtY1,,,  Coming up .
TmbQFWBvTtY1,,,  Hello again friend . If you never seen one of my video I 'm Alex Lyon .
TmbQFWBvTtY1,,,  And this channel Communication Coach is here to help you increase
TmbQFWBvTtY2,0.25,0.43,  your impact so you can lead your team to higher level of excellence . And I
TmbQFWBvTtY2,,,  believe that presentation skill are a really important part of leadership .
TmbQFWBvTtY2,,,  You 're going to be standing and presenting quite frequently if you 're in
TmbQFWBvTtY2,,,  any kind of leadership position . So we want to get just a little bit better at
TmbQFWBvTtY2,,,  this . Let 's look at three way you can improve your nonverbal body language so
TmbQFWBvTtY2,,,  that people can hear your message in a much more confident and composed way .
TmbQFWBvTtY3,0.47,1.08,  And these tip by the way go together . So each of the three tip have a couple of
TmbQFWBvTtY3,,,  piece a you 'll see . So the first tip is eye contact and smile . So eye contact .
TmbQFWBvTtY3,,,  You have to look directly into somebody 's eye that 's listening about
TmbQFWBvTtY3,,,  99 % of the time . You do n't want to look too much at your note . You do n't want to
TmbQFWBvTtY3,,,  look back at your slide really . You certainly do n't want to look at the
TmbQFWBvTtY3,,,  floor over their head . A lot of bad habit out there in term of eye contact .
TmbQFWBvTtY4,1.13,1.32,  You want to look directly in someone 's eye almost the whole time and that
TmbQFWBvTtY4,,,  really take quite a bit of practice . The other thing you want to do is look
TmbQFWBvTtY4,,,  directly into somebody 's eye long enough to finish a thought and then move
TmbQFWBvTtY4,,,  on to the next person . So you do n't want to just stare at one person the whole
TmbQFWBvTtY4,,,  time and you do n't want to scan so that you 're never locking in . A communication
TmbQFWBvTtY4,,,  coach actually once told me `` One thought one look . '' So long enough to finish about
TmbQFWBvTtY5,1.36,1.58,  a sentence feel that connection and then you move on to the next person . So what
