Topic,Sentence
No,Begins with a story to engage audience
Delivery,He clasps his hands a lot while he speaks
Delivery,Use of humour
Delivery,Use of analogy
Delivery,He makes good eye contact
No,He use chess to analog the process of searching for chemicals.
No,He uses just one slide to organized all his talk.
Delivery,He did not look back to his slide during his presentation. He focused on his audience.
No,"Just like first 2 videos, this is linked to telling a story."
Delivery,"Nice visuals, great referral to some; i sort of expected him to refer to other ones as well. nice voice and eye contact. catch in the beginning"
Delivery,Better explanation of research idea
Delivery,This is more like speech
Delivery,well commandered
Delivery,good vocal
No,simple and well organized
Delivery,Engaging opening - I want to tell you a story about...
No,Simple visuals help make the content accessible and not intimidating
Delivery,Language is direct with effective use of numbers to make a point
No,Building up the story incrementally from the tree to the chemical to the problem to the chemists
Delivery,Skillful use of analogy to explain the part computers play in solving this problem
Delivery,Effective hand gestures
No,Main point stated clearly in conclusion
Delivery,very engaging speech
Delivery,This is a super interesting presentation. His enthusiasm shows and keeps me interesting for what comes next.
No,Excellent use of visual aids. Simple and only refered to when necessary.
No,"I guess the structure is really good, since it seemed to flow smoothly from trees in the pacific northwest to statistics and computers."
No,Awesome intro. Great pause after 'begins'. Attention is gained immediately with the promise of a story.
Delivery,Silence between sentences makes for clear punctuation.
No,"Good place for the quip - right in the middle. As a result, you can tell he's serious but also adds a sense of humour to his presentation."
No,Use of analogy is good. The audience can relate the idea something that's established and perhaps better understood.
Delivery,Highlights clearly the originality of his work.
Delivery,talking too fast
No,good opener
Delivery,good animated gestures
Delivery,Great way to draw the audience in with the interesting opening
No,He made a potentially really boring concept very interesting and relatable.
Delivery,The speed can be slowed down just very slightly in the beginning as the audience grasps what he is trying to say but is otherwise good overall
No,Good example of a strong specific intro
No,Visual aids signpost major topics with no text.
No,clear transition from the background to speaker's own research project.
Delivery,the way of information delivery is quite clear for those who without computer science and chemical background.
Delivery,Like the opening! I want to tell you a story...
No,Very busy slide!
Delivery,Nice opening pause
Delivery,"Nice stance, and pauses between points"
No,"Great analogies - politicians, then chemists with lego"
Delivery,Nice joke - barely remember 10 million
Delivery,"Very short, the slide well organized, no text at all but still give a clear idea of his speech, he explained his research in 3 min and was so easy to understand even if you have nothing to do with chemistry"
Delivery,he got a nice research topic which allows him to give a nice presentation.
Delivery,Nice explanation - 10 million books on Amazon - need computer help
No,Move from problem to analogy (chess) to computer system
No,Good strong summary - better tools to make better medicine
No,He tells a story at the beginning
Delivery,He is smiling
No,"He is telling a story throughout, makes it easy to follow and understand what his work is about"
No,He isn't relying on his slides for telling his story
No,"Okay, he is talking about trees and the image I can see doesn't match. I didn't like the four images to me that was no different to a slide of words."
Delivery,He appears to apply the 'S' guides to presentation.
No,I guess I was left with the closing statement about what he is doing.
Delivery,good opening
No,only one slide
No,no outline?
Delivery,"Very clear, well-practised. Good use of pauses."
Delivery,The presentation was clear with not too much technical jargons. He relates quite well to the general audience.
No,nice beginning and visual.
Delivery,nice pauses in speech
Delivery,good hand gesture
No,Opening is really engaging.
Delivery,"I like the humour and even though it's obviously a complicated topic, his treatment of it is really accessible."
No,Presentation required virtually no visual aids and still very effective.
