SegmentId,StartTime,EndTime,Transcript
MnIPpUiTcRc1,0.01,0.14,"Pay practitioner today, I'm going to be"
,,,"teaching you with the help of my friend,"
,,,"Dana Blouin, the top seven tip for a"
,,,"great presentation,"
,,,Dana blue and a an entrepreneur
,,,"currently living in Bangkok, Thailand,"
,,,where he is a co and CEO of a
,,,company called mango lab. Anyways here's
MnIPpUiTcRc2,0.14,0.17,some of his tip. We all have to give
MnIPpUiTcRc3,0.17,0.34,presentation at different point in our
,,,life that might be for school or work or
,,,an organization that you weren't
,,,involved with no matter where We give
,,,"the presentation, or to who we want to"
,,,make sure that it ha the impact on the
,,,"Audience and that it memorable, these"
,,,are seven tip that are going to ensure
,,,"that you nail the presentation, and leave"
,,,a lasting impression on your audience.
MnIPpUiTcRc4,0.35,0.35,Number one know your audience. The first
MnIPpUiTcRc5,0.35,0.41,step in preparing for any presentation
,,,should be to get a better idea of who
,,,your audience. is. Knowing your audience.
MnIPpUiTcRc6,0.41,0.41,
MnIPpUiTcRc7,0.43,1.01,will allow you to understand the type of
,,,content they are going to be expecting
,,,with regard to depth and technical
,,,"detail, you want to give the"
,,,same presentation to a group of high
,,,school student who are interested in
,,,"entrepreneurship, that you went to a"
,,,"roomful of startup, founder and CEOs,"
,,,because their expectation and level of
,,,understanding will be on completely
,,,different level dig up a much a you
,,,can about who your audience. is. what
MnIPpUiTcRc8,1.01,1.05,industry they work in and what
,,,position they generally hold. This
MnIPpUiTcRc9,1.05,1.11,allows you to really tailor the content
,,,"and delivery of the presentation, in a"
,,,way that will really make it stand out
,,,and be too many time.
MnIPpUiTcRc10,1.13,1.23,People give killer presentation at one
,,,venue to a group made up of their core
,,,audience and then bomb on the same
,,,presentation to a different group
,,,because they make the change
,,,they needed to better address the new
,,,audience just because you kill it in one
,,,audience. mean the same exact
MnIPpUiTcRc11,1.25,1.48,content will replicate the reaction with
,,,all Audience Number two use structure
,,,to build on idea If you stand up and
,,,"give a presentation, and all the point"
,,,you want to make are just tossed around
,,,"randomly and they make any sense,"
,,,not too many People are going to enjoy
,,,your presentation and If they remember
,,,"it, it, likely that it not For the"
,,,"reason that you want them to, however, if"
,,,you structure your presentation in a way
,,,that each idea each section build on
,,,"the one before it, you help your audience."
MnIPpUiTcRc12,1.49,1.51,connect with the content and create
,,,logical link between the concept. This
MnIPpUiTcRc13,1.51,2,is a great way to make more complex
,,,idea easier for the Audience to
,,,understand and remember
,,,number three use visuals another great
,,,tool to cement. Those idea in the mind
MnIPpUiTcRc14,2,2.02,of your audience. is. to use visuals like
MnIPpUiTcRc15,2.02,2.06,chart graph and infographics to
,,,illustrate and communicate a concept. a
MnIPpUiTcRc16,2.06,2.1,many a 65 percent of People are
,,,considered to be visual learner. So if
MnIPpUiTcRc17,2.1,2.27,you take this approach in your
,,,presentation you are going to ignore the
,,,vast majority of the population using an
,,,"image, regardless of If it, a picture"
,,,graph or chart can be a much more potent
,,,conveyor of information and ha a much
,,,more powerful impact on the Audience a
,,,single image can convey so much
,,,information just like the old saying
,,,that a picture worth a thousand word.
MnIPpUiTcRc18,2.29,2.35,It really is think of the impact This
,,,can have when explaining data or result
,,,"in a presentation, If you had to stand"
,,,there in front of your audience. and go
MnIPpUiTcRc19,2.35,2.43,"through every data point verbally, it can"
,,,get bad quickly and This is much more
,,,common of an occurrence than you might
,,,think But if you able to visualize
,,,that data for your audience. with a graph
MnIPpUiTcRc20,2.43,2.56,or chart you instantly make it much more
,,,"understandable and memorable, showing"
,,,someone 200 percent growth with a graph
,,,is much more exciting than explaining it
,,,"while looking at the raw data,"
,,,"for example, If I took away the screen of"
,,,"This video and all you saw wa black, it"
,,,be near a exciting number. Four
MnIPpUiTcRc21,2.56,3.21,repetition is your friend having a bit
,,,of structure in your presentation go a
,,,long way in keeping the Audience engaged
,,,because they can follow the information
,,,from step to step But even more than
,,,just structuring the flow of the
,,,"presentation, you also want to build in"
,,,repetition This encourages people to
,,,remember the key point of the
,,,"presentation, and help it stick which"
,,,again make it and you more memorable a
,,,classic way to go about repetition is
,,,something Dana learned early on when he
,,,started his public speaking career.
MnIPpUiTcRc22,3.23,3.26,Another speaker at a big regional tech
,,,event came up to him after a talk and
,,,complimented Dana on is. delivery in the
MnIPpUiTcRc23,3.26,3.36,depth of the material but asked why he
,,,use more repetition Dana wa a
,,,"bit stumped, because he never really"
,,,thought about that before the Other
,,,speaker suggested that Dana start
,,,telling the Audience what it is. he
MnIPpUiTcRc24,3.36,3.44,wanted to tell them just to give them a
,,,brief rundown of the key point after
,,,that move right into the body of the
,,,"presentation, and tell them exactly what"
,,,wa highlighted at the beginning. But
MnIPpUiTcRc25,3.44,3.53,"obviously, with more detail and extra"
,,,element that you add in to make the
,,,"presentation, stick then in the"
,,,"presentation, by telling them what you"
,,,"just told them, reminding them of the key"
,,,point and a brief summary for final
,,,repetition. Using this technique help to
MnIPpUiTcRc26,3.55,3.58,reinforce the main point of the
,,,"presentation, at least three time at the"
,,,beginning. middle and end. The key is to
MnIPpUiTcRc27,4,4,
MnIPpUiTcRc28,4,4.08,"find a way to do this, that it feel"
,,,"natural and not overly scholastic, and"
,,,that take practice which talk
,,,about later. On tip Number five have a
MnIPpUiTcRc29,4.08,4.2,story to tell
,,,the difference between an average
,,,presentation that People zone out of and
,,,"a great presentation, that keep them"
,,,engaged is how you convey the
,,,information to the Audience
,,,a great way to convey the information or
,,,key point of your presentation is. to
MnIPpUiTcRc30,4.2,4.23,use a story
,,,using a story preferably an interesting
,,,one. You get your point across and you
MnIPpUiTcRc31,4.25,4.29,"creating a moment in the presentation,"
,,,that is. memorable and easier for the
MnIPpUiTcRc32,4.29,4.31,"Audience to recall later. also,"
MnIPpUiTcRc33,4.31,4.35,hopefully going to be something that
,,,catch their attention pulling them in
,,,to what you were saying. One of the key
MnIPpUiTcRc34,4.35,4.4,"here, though, is that it ha to be a story"
,,,"you can tell with commitment, and it ha"
