SegmentId,StartTime,EndTime,Transcript,Topic
TmbQFWBvTtY1,0,0.22,  When we stand and present we want to come across a confident and composed .,No
,,,  And one of the great way to do that is by working on our body language . Let 's,
,,,  look at three way to improve your nonverbal body language in presentation .,
,,,  Coming up .,
,,,  Hello again friend . If you never seen one of my video I 'm Alex Lyon .,
,,,  And this channel Communication Coach is here to help you increase,
TmbQFWBvTtY2,0.25,0.43,  your impact so you can lead your team to higher level of excellence . And I,No
,,,  believe that presentation skill are a really important part of leadership .,
,,,  You 're going to be standing and presenting quite frequently if you 're in,
,,,  any kind of leadership position . So we want to get just a little bit better at,
,,,  this . Let 's look at three way you can improve your nonverbal body language so,
,,,  that people can hear your message in a much more confident and composed way .,
TmbQFWBvTtY3,0.47,1.08,  And these tip by the way go together . So each of the three tip have a couple of,No
,,,  piece a you 'll see . So the first tip is eye contact and smile . So eye contact .,
,,,  You have to look directly into somebody 's eye that 's listening about,
,,,  99 % of the time . You do n't want to look too much at your note . You do n't want to,
,,,  look back at your slide really . You certainly do n't want to look at the,
,,,  floor over their head . A lot of bad habit out there in term of eye contact .,
TmbQFWBvTtY4,1.13,1.32,  You want to look directly in someone 's eye almost the whole time and that,No
,,,  really take quite a bit of practice . The other thing you want to do is look,
,,,  directly into somebody 's eye long enough to finish a thought and then move,
,,,  on to the next person . So you do n't want to just stare at one person the whole,
,,,  time and you do n't want to scan so that you 're never locking in . A communication,
,,,  coach actually once told me `` One thought one look . '' So long enough to finish about,
TmbQFWBvTtY5,1.36,1.58,  a sentence feel that connection and then you move on to the next person . So what,No
,,,  do you do with your face while you 're making eye contact . You 've got to,
,,,  smile . A lot of time people get overly robotic when they present . They might be,
,,,  making good eye contact but their face is stern . And it doe n't look like,
,,,  anything 's happening emotionally . You want to smile and warm your face up a,
,,,  little bit so that when you 're making eye contact with somebody they feel a,
TmbQFWBvTtY6,2.02,2.23,  connection with you that 's welcoming and supportive . You do n't want to come across,No
,,,  a a deer in the headlight . Tip number two . Posture and gesture . And these,
,,,  thing go together . So in term of what not to do for posture you do n't,
,,,  want to shuffle your foot back and forth . You do n't want to sway your hip . You,
,,,  do n't want to cross and uncross your leg repetitively . You do n't want to pace,
,,,  around like a wild person . By the way if you want to walk in a presentation it 's,
TmbQFWBvTtY7,2.27,2.48,  okay to walk a little bit but make sure when you walk you stop and you say a,No
,,,  little bit before you walk again . So walk with a purpose,
,,,  stop share your message and then maybe a minute or so later walk again . Do n't pace .,
,,,  So once you have these don'ts out of the way what should you do ? You want to stand,
,,,  with your foot about shoulder width apart . This is how you would stand if you,
,,,  were n't self about how you 're standing . We get self when we,
TmbQFWBvTtY8,2.51,3.12,  present but really all you have to do is stand like a normal person . Then you want,No
,,,  to put just a tiny bit of weight on the front of your foot and a little tiny bit,
,,,  lighter on your heel . And your whole foot is still touching but you have a,
,,,  little bit more of a ready responsive position . You also want to soften your,
,,,  knee a little bit . You do n't want to have locked knee . Bad thing happen when,
,,,  your lock your knee . I 'm not sure of the physiology of it but when people lock,
TmbQFWBvTtY9,3.16,3.34,  their knee they oftentimes pas out when they 're nervous . And you do n't want,No
,,,  to do that in the middle of your presentation . So soften those knee . Now,
,,,  you 've got your posture . Let 's add some gesture to it . You do n't want to put,
,,,  your hand in your pocket . You do n't want to put your hand behind your back .,
,,,  You do n't want to grab on to different part of your body for security . All that,
,,,  look very distracting . So here 's what you should do . You should loosely clasp,
TmbQFWBvTtY10,3.39,3.58,  your hand at about belt level . And then you should just gesture naturally from,No
,,,  there . You do n't want to interlock your finger you do n't want to wring your,
,,,  hand . Because then you 'll get too locked in and it 's hard to let go . But if you,
,,,  practice at home just loosely clasping your hand like this then just start to,
,,,  gesture naturally from here and that 's the way to do it . Small little gesture,
,,,  just like this . You can do this all day long and it 's just going to add a nice,
TmbQFWBvTtY11,4.02,4.24,  emphasis to your word and it 's not going to be distracting whatsoever .,No
,,,  Tip number three . You want to pause . And when you pause after a key idea add a little,
,,,  tiny bit of a nod . I 've seen some really convincing and persuasive speaker do,
,,,  this . And what you 'll notice if you pause after a key idea and nod that pause is,
,,,  really persuasive but the nodding is contagious . You 'll see that people,
,,,  listening to you actually start to nod a little bit with you . And,
TmbQFWBvTtY12,4.27,4.47,  that 's one of the way that you know you have them . It 's a very subtle but,No
,,,  powerful nonverbal body language tip . So those are my three tip for improving,
,,,  your nonverbal body language when you 're presenting . But I 'd like to hear your,
,,,  tip . Question of the day how do you recommend that we improve our body,
,,,  language while we 're presenting . Please put the comment below in that section . I,
,,,  look forward to reading those . So thanks . God bless . I 'll see you in the next video .,
1VCaJ4dSHak1,0.01,0.28,  Using gesture when give a public speech is a very important part of your presentation .,No
,,,  If you fail to use gesture properly and you do awkward gesture throughout your presentation,
,,,  you are probably going to distract your audience and you are not going to get the impact that,
,,,  you want when you presenting .,
,,,  So what are four gesture that we use and how can we use them and use them effectively,
,,,  during our presentation ?,
1VCaJ4dSHak2,0.29,0.54,  Hi I am Ryan McLean and I am from publicspeakingpower.com where we teach people like you how to become,No
,,,  powerful public speaker .,
,,,  So I am going to walk you through the four gesture that you can use in your presentation,
,,,  and so you can become more powerful and effective public speaker .,
,,,  Gesture number one are descriptive Gestures so these are gesture that we are using to,
,,,  describe something or situation .We might draw comparison between something thatƒ??s,
1VCaJ4dSHak3,1,1.22,  really big and something thatƒ??s really small or we might use it to contrast certain item,No
,,,  or to depict the size .,
,,,  A great example that I am taking from toy master is if you are using a metaphor something,
,,,  is like a tiny little bird and you are holding like cup stand stating the metaphor of the,
,,,  bird and also implying size being small .,
,,,  You can also use descriptive gesture to say shape say it wa the box this big back,
1VCaJ4dSHak4,1.31,1.53,  these and you showing square shape of the box using your gesture .,No
,,,  You can also talk about movement so moving from here to there picking up a box you,
,,,  can talk about location the table wa over here and there wa magazine on the table and,
,,,  you can even talk about the number like I said four different gesture that we are going,
,,,  to use .,
,,,  So descriptive gesture are very helpful because when we are speaking all we have is our word,
1VCaJ4dSHak5,1.59,2.25,  all we have is what come out of our mouth and by using descriptive gesture we can,No
,,,  actually improve the impact and improve the comprehension of our audience so that our,
,,,  message get across more effectively .,
,,,  Number two is Emphatic gesture that a confusing word so let me explain it .,
,,,  Emphatic gesture are like emotional gesture so if we are sad we could slump down and talk,
,,,  about thing sad and we are angry we could put our fist together and make angry face .,
1VCaJ4dSHak6,2.3,2.59,  So we can use these gesture to symbolise the feeling that we have and that also emphatic,No
,,,  gesture help u in more genuine ƒ??so what are you talking about I am so angry when,
,,,  this happened and we are using this angry gesture it actually give more humph to our,
,,,  presentation and make sing more genuine yes he were angry I can see his body language,
