Topic,Sentence
Structure,Begins with a story to engage audience
No,He clasps his hands a lot while he speaks
No,Use of humour
No,Use of analogy
No,He makes good eye contact
Structure,He use chess to analog the process of searching for chemicals.
No,He uses just one slide to organized all his talk.
No,He did not look back to his slide during his presentation. He focused on his audience.
Structure,"Just like first 2 videos, this is linked to telling a story."
No,"Nice visuals, great referral to some; i sort of expected him to refer to other ones as well. nice voice and eye contact. catch in the beginning"
No,Better explanation of research idea
No,This is more like speech
No,well commandered
No,good vocal
Structure,simple and well organized
No,Engaging opening - I want to tell you a story about...
No,Simple visuals help make the content accessible and not intimidating
No,Language is direct with effective use of numbers to make a point
Structure,Building up the story incrementally from the tree to the chemical to the problem to the chemists
No,Skillful use of analogy to explain the part computers play in solving this problem
No,Effective hand gestures
Structure,Main point stated clearly in conclusion
No,very engaging speech
No,This is a super interesting presentation. His enthusiasm shows and keeps me interesting for what comes next.
No,Excellent use of No. Simple and only refered to when necessary.
Structure,"I guess the structure is really good, since it seemed to flow smoothly from trees in the pacific northwest to statistics and computers."
Structure,Awesome intro. Great pause after 'begins'. Attention is gained immediately with the promise of a story.
No,Silence between sentences makes for clear punctuation.
Structure,"Good place for the quip - right in the middle. As a result, you can tell he's serious but also adds a sense of humour to his presentation."
Structure,Use of analogy is good. The audience can relate the idea something that's established and perhaps better understood.
No,Highlights clearly the originality of his work.
No,talking too fast
Structure,good opener
No,good animated gestures
No,Great way to draw the audience in with the interesting opening
Structure,He made a potentially really boring concept very interesting and relatable.
No,The speed can be slowed down just very slightly in the beginning as the audience grasps what he is trying to say but is otherwise good overall
Structure,Good example of a strong specific intro
No,No signpost major topics with no text.
Structure,clear transition from the background to speaker's own research project.
No,the way of information No is quite clear for those who without computer science and chemical background.
No,Like the opening! I want to tell you a story...
No,Very busy slide!
No,Nice opening pause
No,"Nice stance, and pauses between points"
Structure,"Great analogies - politicians, then chemists with lego"
No,Nice joke - barely remember 10 million
No,"Very short, the slide well organized, no text at all but still give a clear idea of his speech, he explained his research in 3 min and was so easy to understand even if you have nothing to do with chemistry"
No,he got a nice research topic which allows him to give a nice presentation.
No,Nice explanation - 10 million books on Amazon - need computer help
Structure,Move from problem to analogy (chess) to computer system
Structure,Good strong summary - better tools to make better medicine
Structure,He tells a story at the beginning
No,He is smiling
Structure,"He is telling a story throughout, makes it easy to follow and understand what his work is about"
No,He isn't relying on his slides for telling his story
No,"Okay, he is talking about trees and the image I can see doesn't match. I didn't like the four images to me that was no different to a slide of words."
No,He appears to apply the 'S' guides to presentation.
Structure,I guess I was left with the closing statement about what he is doing.
No,good opening
No,only one slide
Structure,no outline?
No,"Very clear, well-practised. Good use of pauses."
No,The presentation was clear with not too much technical jargons. He relates quite well to the general audience.
No,nice beginning and visual.
No,nice pauses in speech
No,good hand gesture
Structure,Opening is really engaging.
No,"I like the humour and even though it's obviously a complicated topic, his treatment of it is really accessible."
No,Presentation required virtually no No and still very effective.
No,efficient use of visuals in one slide
No,effective use of his hand in emphasizing various points
Structure,"Excellent conclusion""My work is about giving chemists better tools to make better medicines"""
Structure,"Bigger picture/problem, followed by a good analogy"
No,Visually striking and information slides
Structure,She begins with the interesting moment 'the end of gender' and then works toward explaining why she is saying this.
No,striking visual aid to illustrate her point
No,she moves around a lot when speaking
No,Good use of visuals in showing different demographics
No,Swaying is a bit distracting
No,Clear diagrams that explain points well
No,"""Why should I care about this"" relates talk back to audience"
No,She uses precise No to support her points.
No,She uses animation to show the process of information.
No,She swings back and forth.
Structure,Showing the transition between two concepts by animation.
No,"Big Words, showing the topic."
No,"Customized charts, with customized animation!"
Structure,"All the evidences, data, charts and No are all focus on a single point, the topic of the talk."
No,"Relatable again. 
Bringing humour into the No I'd assume gives a more positive experience to the audience"
No,Great use of graphics to emphasise points
No,Slightly too much moving around on stage for me.
No,Enthusiastic and engaging ending - leaves the audience thinking
No,"Carefully outlining whats to come
Good opening line"
Structure,She is cleverly making statistics 'mean something' to the audience
Structure,Good interpretation of what her data means for the audience
Structure,She doesn't have a firm posture.
No,Slight pauses between sentences are punctuating the presentation.
No,"Written content of the slides is low, keeping the focus on the audible content."
No,Good use of emotive No in the speech. You believe that she believes what she's saying. Expressive hand movements are also adding to this.
No,good use of pictures and graphics
Structure,Opens by stating main message
No,Effective No - magazine covers. The way they keep changing makes a point about how widespread they are
No,Great animated No that accurately reflects the spoken component
No,Link to Mad Men brings us alongside the presenter with a common experience
No,Taste respected rather than assumed - good takeaway message
Structure,"Well structured with visuals supporting her explanation at the beginning of each section, then her speech expands and goes deeper"
No,No is well-paced - quite deliberate and unhurried. Makes it easy to follow
No,interesting
No,"good use of pictures, charts"
Structure,taking too long to get to the main point of the talk.
No,The variety of images used  grab the attention of the viewer
No,she introduces who she is at the 2.40 mark after she has the attention of the audience
No,"Use of terminology with a corresponding  amusing relatable visual ""chick flick"""
No,"I really liked the graphs in this presentation - the consistent style appealed to me and they didn't take over the presentation, but really supported the message."
No,very nice opening
No,good No
Structure,very nice ending
No,"Visuals, no text, but message is clearly communicated"
No,Very good intonation
No,"Sounds like she's explaining this to a friend, so it's very easy to follow and doesn't feel like a traditional presentation"
No,"i think two big screens in front of the speaker are a helpful tool for giving a hint of next slide. Or, maybe a transcribed text."
No,"i just realised that she moved a lot. contradict from the previous tips about ""stand"""
No,she made less eye contact with the audiences as she frequently looked to the screen
No,Uses relevant visual images but an overload for me particularly with the movement.
No,She moves her feet and is not smiling - perhaps reflecting the content currently concerns her. I am sure the final tutorial would say something about her stance but I'm okay with her movement. I take from that she is emotionally invested in the topic unlike Steve Jobs who was financially invested.
No,Simple images relevant emphasize the point made
Structure,Closed bringing the key points back again
No,"She seems a bit nervous, but is using hands well, maybe not standing neutrally though."
No,She is rocking back and forth
No,Not smiling
No,Her slides are very interesting to look at. The pictures represent an idea
No,Made the audience laugh - engaging
No,"Her speech is clear, no 'mmmm'ing"
Structure,"Easy to follow the progression, slides are used to split up ideas well"
No,She uses her hands well
Structure,She recapped at the end
No,"Nice opening - ""a little crazy""...""connect the dots"""
No,like the meat-grinder image - simple but powerful
No,Not sure about the rocking back and forth No style - anti-confidence?
No,"Quite a conversational style, but lots of words"
Structure,"Summary is there, but seems weak...imagine..."
No,she is a nice speaker.
No,"It was very interesting presentation, with a lot of visual effects that helped me to understand hers research and to remember some facts afterwards 
She is very confident, good body language, smile all the time.
The way she dressed up looks very professional and she is wearing a black, so helps to stay focus on her visual effect of presentation not to look at her"
No,persuasive and clear No
No,using variation on speed and voice.
Structure,using questions as transition.
No,good/simple visuals
No,voice variation for clarity of points
No,slow measured speech
No,humorous
Structure,excellent story/narrative
No,"variation on voice, but the speed might be too fast for me(English as a second language)"
No,"he sounds bit nervous, but he is selling his story at the beginning which is a good start."
