SegmentId,StartTime,EndTime,Transcript,,,,,,,
MnIPpUiTcRc1,0.01,0.14,"Pay practitioner today, I'm going to be",,,,,,,
,,,"teaching you with the help of my friend,",,,,,,,
,,,"Dana Blouin, the top seven tip for a",,,,,,,
,,,"great presentation,",,,,,,,
,,,Dana blue and a an entrepreneur,,,,,,,
,,,"currently living in Bangkok, Thailand,",,,,,,,
,,,where he is a co and CEO of a,,,,,,,
,,,company called mango lab. Anyways here's,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc2,0.14,0.17,some of his tip. We all have to give,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc3,0.17,0.34,presentation at different point in our,Organization,,,,PresentationAttribute,,
,,,life that might be for school or work or,Impact,,,,PresentationAttribute,,
,,,an organization that you weren't,Audience,,,,Delivery,,
,,,involved with no matter where We give,Memorable,Impact,,,PresentationAttribute,,
,,,"the presentation, or to who we want to",Audience,,,,Delivery,,
,,,make sure that it ha the impact on the,,,,,,,
,,,"Audience and that it memorable, these",,,,,,,
,,,are seven tip that are going to ensure,,,,,,,
,,,"that you nail the presentation, and leave",,,,,,,
,,,a lasting impression on your audience.,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc4,0.35,0.35,Number one know your audience. The first,Audience,,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc5,0.35,0.41,step in preparing for any presentation,Audience,,,,Delivery,,
,,,should be to get a better idea of who,,,,,,,
,,,your audience. is. Knowing your audience.,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc6,0.41,0.41,nan,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc7,0.43,1.01,will allow you to understand the type of,Audience,,,,Delivery,,
,,,content they are going to be expecting,,,,,,,
,,,with regard to depth and technical,,,,,,,
,,,"detail, you want to give the",,,,,,,
,,,same presentation to a group of high,,,,,,,
,,,school student who are interested in,,,,,,,
,,,"entrepreneurship, that you went to a",,,,,,,
,,,"roomful of startup, founder and CEOs,",,,,,,,
,,,because their expectation and level of,,,,,,,
,,,understanding will be on completely,,,,,,,
,,,different level dig up a much a you,,,,,,,
,,,can about who your audience. is. what,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc8,1.01,1.05,industry they work in and what,,,,,,,
,,,position they generally hold. This,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc9,1.05,1.11,allows you to really tailor the content,,,,,Delivery,,
,,,"and delivery of the presentation, in a",,,,,,,
,,,way that will really make it stand out,,,,,,,
,,,and be too many time.,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc10,1.13,1.23,People give killer presentation at one,Audience,,,,Delivery,,
,,,venue to a group made up of their core,Audience,,,,Delivery,,
,,,audience and then bomb on the same,Audience,,,,Delivery,,
,,,presentation to a different group,,,,,,,
,,,because they make the change,,,,,,,
,,,they needed to better address the new,,,,,,,
,,,audience just because you kill it in one,,,,,,,
,,,audience. mean the same exact,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc11,1.25,1.48,content will replicate the reaction with,Audience,,,,Delivery,,
,,,all Audience Number two use structure,,,,,Structure,,
,,,to build on idea If you stand up and,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,"give a presentation, and all the point",Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,you want to make are just tossed around,,,,,Structure,,
,,,"randomly and they make any sense,",Section,BodyComponent,StructureComponent,,Structure,,
,,,not too many People are going to enjoy,Audience,,,,Delivery,,
,,,your presentation and If they remember,,,,,,,
,,,"it, it, likely that it not For the",,,,,,,
,,,"reason that you want them to, however, if",,,,,,,
,,,you structure your presentation in a way,,,,,,,
,,,that each idea each section build on,,,,,,,
,,,"the one before it, you help your audience.",,,,,,,
,,,,,,,,,,
MnIPpUiTcRc12,1.49,1.51,connect with the content and create,,,,,,,
,,,logical link between the concept. This,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc13,1.51,2,is a great way to make more complex,Audience,,,,Delivery,,
,,,idea easier for the Audience to,,,,,,,
,,,understand and remember,,,,,,,
,,,number three use visuals another great,,,,,,,
,,,tool to cement. Those idea in the mind,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc14,2,2.02,of your audience. is. to use visuals like,Audience,,,,Delivery,,
,,,,,,,,,,
MnIPpUiTcRc15,2.02,2.06,chart graph and infographics to,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,illustrate and communicate a concept. a,Graph,Diagram,Figure,Illustration,VisualAid,,
,,,,Infographics,Diagram,Figure,Illustration,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc16,2.06,2.1,many a 65 percent of People are,,,,,,,
,,,considered to be visual learner. So if,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc17,2.1,2.27,you take this approach in your,Approach,BodyComponent,StructureComponent,,Structure,,
,,,presentation you are going to ignore the,Image,Picture,Figure,Illustration,VisualAid,,
,,,vast majority of the population using an,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,"image, regardless of If it, a picture",Graph,Diagram,Figure,Illustration,VisualAid,,
,,,graph or chart can be a much more potent,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,conveyor of information and ha a much,Information,BodyComponent,StructureComponent,,Structure,,
,,,more powerful impact on the Audience a,Impact,,,,PresentationAttribute,,
,,,single image can convey so much,Audience,,,,Delivery,,
,,,information just like the old saying,Image,Picture,Figure,Illustration,VisualAid,,
,,,that a picture worth a thousand word.,Information,BodyComponent,StructureComponent,,Structure,,
,,,,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MnIPpUiTcRc18,2.29,2.35,It really is think of the impact This,Impact,,,,PresentationAttribute,,
,,,can have when explaining data or result,Result,BodyComponent,StructureComponent,,Structure,,
