SegmentId,StartTime,EndTime,Transcript,Topic
MnIPpUiTcRc1,0.01,0.14,"Pay practitioner today, I'm going to be",No
nan,nan,nan,"teaching you with the help of my friend,",No
nan,nan,nan,"Dana Blouin, the top seven tip for a",No
nan,nan,nan,"great presentation,",No
nan,nan,nan,Dana blue and a an entrepreneur,No
nan,nan,nan,"currently living in Bangkok, Thailand,",No
nan,nan,nan,where he is a co and CEO of a,No
nan,nan,nan,company called mango lab. Anyways here's,No
MnIPpUiTcRc2,0.14,0.17,some of his tip. We all have to give,No
MnIPpUiTcRc3,0.17,0.34,presentation at different point in our,No
nan,nan,nan,life that might be for school or work or,Structure
nan,nan,nan,an organization that you weren't,Structure
nan,nan,nan,involved with no matter where We give,No
nan,nan,nan,"the presentation, or to who we want to",No
nan,nan,nan,make sure that it ha the impact on the,No
nan,nan,nan,"Audience and that it memorable, these",No
nan,nan,nan,are seven tip that are going to ensure,Structure
nan,nan,nan,"that you nail the presentation, and leave",Structure
nan,nan,nan,a lasting impression on your audience.,No
MnIPpUiTcRc4,0.35,0.35,Number one know your audience. The first,No
MnIPpUiTcRc5,0.35,0.41,step in preparing for any presentation,No
nan,nan,nan,should be to get a better idea of who,No
nan,nan,nan,your audience. is. Knowing your audience.,No
MnIPpUiTcRc6,0.41,0.41,nan,No
MnIPpUiTcRc7,0.43,1.01,will allow you to understand the type of,No
nan,nan,nan,content they are going to be expecting,No
nan,nan,nan,with regard to depth and technical,Structure
nan,nan,nan,"detail, you want to give the",Structure
nan,nan,nan,same presentation to a group of high,No
nan,nan,nan,school student who are interested in,No
nan,nan,nan,"entrepreneurship, that you went to a",No
nan,nan,nan,"roomful of startup, founder and CEOs,",Structure
nan,nan,nan,because their expectation and level of,No
nan,nan,nan,understanding will be on completely,Structure
nan,nan,nan,different level dig up a much a you,No
nan,nan,nan,can about who your audience. is. what,No
MnIPpUiTcRc8,1.01,1.05,industry they work in and what,No
nan,nan,nan,position they generally hold. This,No
MnIPpUiTcRc9,1.05,1.11,allows you to really tailor the content,No
nan,nan,nan,"and delivery of the presentation, in a",No
nan,nan,nan,way that will really make it stand out,No
nan,nan,nan,and be too many time.,Structure
MnIPpUiTcRc10,1.13,1.23,People give killer presentation at one,No
nan,nan,nan,venue to a group made up of their core,Structure
nan,nan,nan,audience and then bomb on the same,No
nan,nan,nan,presentation to a different group,Structure
nan,nan,nan,because they make the change,No
nan,nan,nan,they needed to better address the new,No
nan,nan,nan,audience just because you kill it in one,Structure
nan,nan,nan,audience. mean the same exact,No
MnIPpUiTcRc11,1.25,1.48,content will replicate the reaction with,No
nan,nan,nan,all Audience Number two use structure,Structure
nan,nan,nan,to build on idea If you stand up and,Structure
nan,nan,nan,"give a presentation, and all the point",No
nan,nan,nan,you want to make are just tossed around,No
nan,nan,nan,"randomly and they make any sense,",No
nan,nan,nan,not too many People are going to enjoy,No
nan,nan,nan,your presentation and If they remember,Structure
nan,nan,nan,"it, it, likely that it not For the",No
nan,nan,nan,"reason that you want them to, however, if",No
nan,nan,nan,you structure your presentation in a way,Structure
nan,nan,nan,that each idea each section build on,Structure
nan,nan,nan,"the one before it, you help your audience.",No
MnIPpUiTcRc12,1.49,1.51,connect with the content and create,No
nan,nan,nan,logical link between the concept. This,Structure
MnIPpUiTcRc13,1.51,2,is a great way to make more complex,Structure
nan,nan,nan,idea easier for the Audience to,No
nan,nan,nan,understand and remember,No
nan,nan,nan,number three use visuals another great,No
nan,nan,nan,tool to cement. Those idea in the mind,Structure
MnIPpUiTcRc14,2,2.02,of your audience. is. to use visuals like,No
MnIPpUiTcRc15,2.02,2.06,chart graph and infographics to,No
nan,nan,nan,illustrate and communicate a concept. a,No
MnIPpUiTcRc16,2.06,2.1,many a 65 percent of People are,No
nan,nan,nan,considered to be visual learner. So if,No
MnIPpUiTcRc17,2.1,2.27,you take this approach in your,No
nan,nan,nan,presentation you are going to ignore the,No
nan,nan,nan,vast majority of the population using an,No
nan,nan,nan,"image, regardless of If it, a picture",No
nan,nan,nan,graph or chart can be a much more potent,No
nan,nan,nan,conveyor of information and ha a much,No
nan,nan,nan,more powerful impact on the Audience a,No
nan,nan,nan,single image can convey so much,No
nan,nan,nan,information just like the old saying,Structure
nan,nan,nan,that a picture worth a thousand word.,No
MnIPpUiTcRc18,2.29,2.35,It really is think of the impact This,No
nan,nan,nan,can have when explaining data or result,Structure
nan,nan,nan,"in a presentation, If you had to stand",No
nan,nan,nan,there in front of your audience. and go,No
MnIPpUiTcRc19,2.35,2.43,"through every data point verbally, it can",No
nan,nan,nan,get bad quickly and This is much more,No
nan,nan,nan,common of an occurrence than you might,Structure
nan,nan,nan,think But if you able to visualize,No
nan,nan,nan,that data for your audience. with a graph,No
MnIPpUiTcRc20,2.43,2.56,or chart you instantly make it much more,No
nan,nan,nan,"understandable and memorable, showing",No
nan,nan,nan,someone 200 percent growth with a graph,No
nan,nan,nan,is much more exciting than explaining it,No
nan,nan,nan,"while looking at the raw data,",No
nan,nan,nan,"for example, If I took away the screen of",No
nan,nan,nan,"This video and all you saw wa black, it",No
nan,nan,nan,be near a exciting number. Four,No
MnIPpUiTcRc21,2.56,3.21,repetition is your friend having a bit,Structure
nan,nan,nan,of structure in your presentation go a,Structure
nan,nan,nan,long way in keeping the Audience engaged,No
nan,nan,nan,because they can follow the information,No
nan,nan,nan,from step to step But even more than,No
nan,nan,nan,just structuring the flow of the,Structure
nan,nan,nan,"presentation, you also want to build in",Structure
nan,nan,nan,repetition This encourages people to,Structure
nan,nan,nan,remember the key point of the,Structure
nan,nan,nan,"presentation, and help it stick which",No
nan,nan,nan,again make it and you more memorable a,No
nan,nan,nan,classic way to go about repetition is,Structure
nan,nan,nan,something Dana learned early on when he,No
nan,nan,nan,started his public speaking career.,No
MnIPpUiTcRc22,3.23,3.26,Another speaker at a big regional tech,No
nan,nan,nan,event came up to him after a talk and,Structure
nan,nan,nan,complimented Dana on is. delivery in the,No
MnIPpUiTcRc23,3.26,3.36,depth of the material but asked why he,No
nan,nan,nan,use more repetition Dana wa a,No
nan,nan,nan,"bit stumped, because he never really",No
nan,nan,nan,thought about that before the Other,No
nan,nan,nan,speaker suggested that Dana start,No
nan,nan,nan,telling the Audience what it is. he,No
MnIPpUiTcRc24,3.36,3.44,wanted to tell them just to give them a,No
nan,nan,nan,brief rundown of the key point after,Structure
nan,nan,nan,that move right into the body of the,No
nan,nan,nan,"presentation, and tell them exactly what",Structure
nan,nan,nan,wa highlighted at the beginning. But,No
