Participant's ID,STRUCTURE Pre Test,DELIVERY Pre Test,VISUAL AIDS Pre Test, ATTRIBUTES of presentations Pre Test,Post Test 1,Post Test 2
CO35,"agenda, time limit, introduction, conclusion, open discussion","humor, body language","graphics, spread sheets","formality, interaction",Use a header. Statements should be only two lines in length. People forget things quickly. Use sticky notes. Be clear and concise.,make it personal. get their attention. state a problem
CO16,"An introduction, Details of main topics, Summarise and conclusion","Greeting, Gain audience attention, Proper eye contact","Charts and Graphs, Demonstration, Diagrams","Confidence, knowledge, clarity",How to use the audience transformation road map. Using flowchart and sticky notes.,Tell examples and stores from own experience.
CO44,"Architecture, arrangement, complex, construction, design, and format","Consignment, distribution, shipment, transmission, carting, and commitment","Trace, Analyze, Infer, Evaluate, Formulate, Describe, Support, Explain, Summarize, Compare, Contrast, Predict","Characteristic, facet, idiosyncrasy, peculiarity, and quality","It must deliver clear information, and it must not distract from the message. Avoid overly elaborate presentation aids because they can distract the audience's attention from your message","Visual aids are visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation"
CO31,"Beginning, middle, end, conclusion, skeleton","humor, seriousness, reliability","slides, graphs, PowerPoint, pictures, notes","memorable, informative","Hit the main points, no big text blocks, be discerning in information given,","presentations rely on a strong start, middle, and conclusion, realize the audience and speaker are entering into a sort of give and take"
CO12,"beginning, middle, end, details.","Tone, passion, knowledge, confidence, information","graphs, charts, pictures, videos, slides","informative, thoughtful, detailed,","learning how to shift the beliefs of a group of people using transitions and giving them a firm outline, using visual aids in for groups and in ways that might not have been their original aim, in order to keep the audience engaged.","Use your personal stories, and that will allow you to connect with your audience, make people want to listen to your presentation right from the start. Use attention grabbers and set expectations for yourself."
CO37,"Beginning, Middle, End. Summary, Belief, Evidence, call to action.","Posture, Hand movements, Voice, Projection","Diagrams, Slideshows, PowerPoint, video, Photos","Direct, Formal, Polite, Politically correct","Clear concise headings, don't use blocks of texts in visual aids, remind the audience that we forget a lot of what we hear to encourage closer listening.","Provide relevant experiences that help the audience care about what you're saying, making them able to relate to you. Realizing that you need to do things to make the audience want to listen to you, for example talking about a problem that a lot of people in the audience possibly have, either relating to it and agreeing, or providing a solution. Both of these things allow the audience to feel like they are connecting to you personally"
CO1,building house construction hut cottage shed,consignment distribution shipment speechmaking,guide flowchart chart imagery impression,climate feature heat ascribe assign credit,clearance of presentation,perfect presentation
CO11,construction arrangement erection framework configuration assembly frame,communicate transfer publish release rescue,figure picture sketch representation,aspect characteristic facet quality trait,layout,attention
CO8,construction arrangements erection framework configuration assembly,order handover transfer cede yield rescue,figure diagram sketch picture graph,aspect facet quality peculiarity,when you share we care,speaker
CO3,"Create an easy step by step structure. When it comes to what you have to say, divide it into three simple sections: your presentation needs an introduction, body, and conclusion. Lower the amount of copy on each slide. Be sharp or smart with design details.","Smile and act relaxed. It will make you look and feel more confident. Make eye contact with your audience instead of reading off your notes the entire time. Avoid distracting behaviours, like chewing gum or fidgeting","Visual aids are visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation. When giving a speech or presentation, a speaker communicates information orally",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentation.,"Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.",Presentation visuals make complex ideas easier to understand. Not everyone computes information at the same speed. Infographics make data-heavy presentations more digestible—breaking statistics and other figures or timelines into bite-sized chunks. They're also more persuasive.
CO4,"First of all, I'd like to give you an overview of.... Next, I'll focus on.....and then we'll consider",Good morning/afternoon (everyone) (ladies and gentlemen).,You can use phrases such as 'Let's focus on,A good presentation should be concise and should be focused on the topic. It should not move off-track,LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.,Main points are the major divisions of the body of a presentation
CO28,"Good morning/afternoon everyone and welcome to my presentation. First of all, let me thank you all for coming here today.","Let me start by saying a few words about my own background.
As you can see on the screen, our topic today is.....","It’s good to see you all here.
It’s great that you could join me.","This presentation is structured as follows...
The subject can be looked at under the following headings...
We can break this area down into the following fields...","Emphasise what you're saying.
Make a point memorable.","Enhance your credibility.
Engage the audience and maintain their interest.
Make something easier for the audience to understand."
CO27,"Good morning/afternoon everyone and welcome to my presentation. First of all, let me thank you all for coming here today.","Let me start by saying a few words about my own background.
As you can see on the screen, our topic today is......","It’s good to see you all here.
It’s great that you could join me.","This presentation is structured as follows....
The subject can be looked at under the following headings.....
We can break this area down into the following fields....",".Emphasise what you're saying.
Make a point memorable.","Enhance your credibility.
Engage the audience and maintain their interest.
Make something easier for the audience to understand"
CO17,"highlight, description ,summary, conclusion","emphasize, purpose, advantages and disadvantages, suggestions","pictures, charts, diagrams, multi-media content","clear objective, storytelling, naturalness , projection","visuals presentation tends to encourage the audience to participate, react and engage , clear objective, powerful opening , visually appealing","introduction, expressive, effective communication, informative presentations"
CO38,"hook, argument, thesis, conclusion, evidence, reasoning","Platform, medium, visuals","Slides, images, videos, graphs, charts, data","argument, persuasiveness, slant, bias, point-of-view","Notes: transformations between concepts; talking about the audience, speaker, and transformation; video usage; aim of the presentation; charting transitions and main ideas; layout of slides, such as headings (statements), limiting text blocks to two lines, and keeping audience attention using brevity and precision.","Having a story that is memorable to let the audience know why they should care (and to make the presentation memorable); people should be told at the beginning why they should care about the presentation, using three techniques, including establishing a problem that many in the audience have."
CO39,"hook, pitch, climax","upbeat, thought provoking","photos, graphs, tables","thought provoking, statistics, hooks, questions and answers.",use great visual aids that will help your audience write down notes. Talk in a way that your audience will udnerstand.,Tap into the audience and their normal lives. Be relatable. Use graphics to break up the montenty of talking
CO21,how its put together,the way you present it,charts graphs slides videos,topics,you need to have something that the audience will care about. Being motivated and optomistic. Call to action,Visual aids - relevance / every slide has a heading which is a simple sentence. Bigger blocks of text will loose an audience memeber by distracting them
CO6,I'd like to give you an overview of.,It's a pleasure to welcome (the President) here,Let's focus on,Outline your presentation,the major divisions of the body of a presentation,Learning and mastering your subject.
CO32,"Introduction
Opening remarks
Agenda
Overview
Objectives
Main points
Slide organization
Conclusion
Summarizing
Key takeaways
Closing remarks
Call to action","Vocal tone
Enunciation
Projection
Pace
Articulation
Pronunciation
Clarity
Modulation
Inflection
Energy
Engagement
Interaction with audience
Visual aids usage
Pointing and highlighting
Maintaining attention
Audience connection
Authenticity
Humor
Empathy
Timing
Adaptability
Responding to feedback
Openness to questions
Addressing concerns
Active listening
Flexibility
Expressive communication
Storytelling ability
Connecting with emotions
Command of the room
Poise
Transitions
Maintaining enthusiasm
Addressing distractions
Creating rapport
Visual contact
Effective delivery enhances the impact of your presentation, making it more engaging and memorable for your audience. Remember,","Slides
PowerPoint
Keynote
Visual presentation
Infographics
Charts
Graphs","Clarity
Coherence
Conciseness
Relevance
Engagement
Impact
Structure
Delivery
Visual appeal","great concept with the slides, visual sticky points, listed web","virtual sticky notes, top 10 speakers, aim transaction, one company buys another company"
CO42,"Introduction
Purpose
Conclusion","Attentive
Appropriate dress
Confident
Not loud
Graceful","Descriptive
Appealing
Uncluttered
Bars
Graphs
Fonts
Stylish","Meaningful
Logical
Original
Effective
Gripping
Innovative","Include basic elements.
Mention the source of information.
Use footnotes.
Every slide should have a heading.
The heading should be simple.
Don't use more than 2 lines.
In this narrative, note, slide, chart and text are related to visual aids, and start, section, outline and aim are related to structure.","Tell the audience why you care.
Share your personal experiences.
Give your best to make it a memorable experience.
Work hard to get people's attention.
You should get people's attention from the beginning.
Be clear about the purpose of your presentation.
In this narrative, story and start were related to structure, and memorable and attention were related to the presentation attribute."
