Concept,Concept Path,,,,,
Accent,Paralanguage,NonVerbalCommunication,Delivery,,,
Acknowledgement,ClosingComponentOpeningComponent,StructureComponent,Structure,,,
AcquireKnowledge,ContentPreparation,Preparation,Delivery,,,
Adaptability,PresentationAttribute,,,,,
Aim,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Analogy,RhetoricalDevice,VerbalCommunication,Delivery,,,
Analysis,BodyComponent,StructureComponent,Structure,,,
Animation,MovingImage,Illustration,VisualAidArtefact,VisualAid,,
Animations,MovingImage,Illustration,VisualAidArtefact,VisualAid,,
Anticlimax,RhetoricalDevice,VerbalCommunication,Delivery,,,
Antithesis,RhetoricalDevice,VerbalCommunication,Delivery,,,
Anxiousness,SpeakerEmotion,Delivery,,,,
Approach,BodyComponent,StructureComponent,Structure,,,
Appropriateness,PresentationAttribute,,,,,
ArmsSignal,BodyLanguageSignal,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Assets,Prop,VisualAidArtefact,VisualAid,,,
Attention,PresentationAttribute,,,,,
Attractiveness,PresentationAttribute,,,,,
Audience,Delivery,,,,,
AudienceDesire,Audience,Delivery,,,,
AudienceEmotion,Audience,Delivery,,,,
AudienceInterest,Audience,Delivery,,,,
Audio,VisualAidArtefact,VisualAid,,,,
AudioSystem,VisualAidDevice,VisualAid,,,,
Backbone,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Beginning,StructureComponent,Structure,,,,
BlockDiagram,Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,
BlockNotes,Notes,VisualAidArtefact,VisualAid,,,
Board,VisualAidDevice,VisualAid,,,,
BodyComponent,StructureComponent,Structure,,,,
BodyExtending,Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
BodyLanguageSignal,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,,
BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,,,
BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,,
BodyMovement,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,,
BodyPartPosition,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,,
Breath,MentalPreparation,Preparation,Delivery,,,
Breathing,MentalPreparation,Preparation,Delivery,,,
BuidlingBlock,BodyComponent,StructureComponent,Structure,,,
BulletPoint,Text,VisualAidArtefact,VisualAid,,,
Calmness,SpeakerEmotion,Delivery,,,,
Charisma,SpeakerAura,Delivery,,,,
Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
Chin,Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
ChronologicalStructure,StructureApproach,Structure,,,,
Clarity,PresentationAttribute,,,,,
Climax,RhetoricalDevice,VerbalCommunication,Delivery,,,
ClipArt,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,
Close,StructureComponent,Structure,,,,
Closing,StructureComponent,Structure,,,,
ClosingComponent,StructureComponent,Structure,,,,
ClosingEyes,EyeMotion,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Clothes,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Coherence,PresentationAttribute,,,,,
Color,EmphasisedText,Text,VisualAidArtefact,VisualAid,,
Colour,EmphasisedText,Text,VisualAidArtefact,VisualAid,,
Comfortable,SpeakerEmotion,Delivery,,,,
Communication,Interactivity,PresentationAttribute,,,,
Composure,SpeakerEmotion,Delivery,,,,
Computer,VisualAidDevice,VisualAid,,,,
Conciseness,Clarity,PresentationAttribute,,,,
Conclusion,ClosingComponent,StructureComponent,Structure,,,
Confidence,SpeakerEmotion,Delivery,,,,
Confident,SpeakerEmotion,Delivery,,,,
Confidently,SpeakerEmotion,Delivery,,,,
Confusing,Coherence,PresentationAttribute,,,,
Connection,Paralanguage,NonVerbalCommunication,Delivery,,,
Conscious,SpeakerAura,Delivery,,,,
Consistency,PresentationAttribute,,,,,
ContentIntroduction,OpeningComponent,StructureComponent,Structure,,,
ContentPreparation,Preparation,Delivery,,,,
Context,OpeningComponent,StructureComponent,Structure,,,
Conviction,SpeakerEmotion,Delivery,,,,
CustomisedChart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,
Definition,BodyComponent,StructureComponent,Structure,,,
Delivery,,,,,,
Demeanour,SpeakerAura,Delivery,,,,
Demonstration,Prop,VisualAidArtefact,VisualAid,,,
DemonstrationStructure,StructureApproach,Structure,,,,
Depression,SpeakerEmotion,Delivery,,,,
Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,,
Diction,Paralanguage,NonVerbalCommunication,Delivery,,,
DigitalPointer,Pointer,VisualAidDevice,VisualAid,,,
Discussion,ClosingComponent,StructureComponent,Structure,,,
Disengage,Attention,PresentationAttribute,,,,
DispalyBoard,Board,VisualAidDevice,VisualAid,,,
Distraction,Attention,PresentationAttribute,,,,
Doodling,AudienceInterest,Audience,Delivery,,,
Drawing,Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,
Dress,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Dynamic,Proxemic,NonVerbalCommunication,Delivery,,,
